trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,08:42:00,08:42:00,8103000,1,,0,1,
1,08:47:00,08:49:00,8100514,2,,0,0,
1,09:13:00,09:15:00,8100008,3,,0,0,
1,10:02:00,10:04:00,8100013,4,,0,0,
1,10:23:00,10:25:00,8100167,5,,0,0,
1,10:38:00,10:40:00,8100170,6,,0,0,
1,10:56:00,11:03:00,8100172,7,,0,0,
1,11:16:00,11:21:00,8100517,8,,0,0,
1,11:26:00,11:28:00,8100306,9,,0,0,
1,11:47:00,11:50:00,8100150,10,,0,0,
1,12:05:00,12:07:00,8100132,11,,0,0,
1,12:20:00,12:22:00,8100133,12,,0,0,
1,12:34:00,12:39:00,8100136,13,,0,0,
1,12:47:00,12:49:00,8100137,14,,0,0,
1,13:04:00,13:06:00,8100138,15,,0,0,
1,13:10:00,13:12:00,8100139,16,,0,0,
1,13:35:00,13:35:00,8100042,17,,1,0,
2,14:25:00,14:25:00,8100042,1,,0,1,
2,14:48:00,14:50:00,8100139,2,,0,0,
2,14:53:00,14:55:00,8100138,3,,0,0,
2,15:09:00,15:11:00,8100137,4,,0,0,
2,15:19:00,15:21:00,8100136,5,,0,0,
2,15:33:00,15:35:00,8100133,6,,0,0,
2,15:52:00,15:55:00,8100132,7,,0,0,
2,16:09:00,16:12:00,8100150,8,,0,0,
2,16:29:00,16:31:00,8100306,9,,0,0,
2,16:36:00,16:38:00,8100517,10,,0,0,
2,16:49:00,16:51:00,8100172,11,,0,0,
2,17:07:00,17:08:00,8100170,12,,0,0,
2,17:24:00,17:25:00,8100167,13,,0,0,
2,17:56:00,17:58:00,8100013,14,,0,0,
2,18:44:00,18:46:00,8100008,15,,0,0,
2,19:11:00,19:13:00,8100514,16,,0,0,
2,19:18:00,19:18:00,8103000,17,,1,0,
3,13:42:00,13:42:00,8103000,1,,0,1,
3,13:47:00,13:49:00,8100514,2,,0,0,
3,14:13:00,14:15:00,8100008,3,,0,0,
3,15:00:00,15:02:00,8100013,4,,0,0,
3,15:25:00,15:27:00,8100167,5,,0,0,
3,15:41:00,15:48:00,8100170,6,,0,0,
3,16:10:00,16:17:00,8100172,7,,0,0,
3,16:29:00,16:30:00,8100517,8,,0,0,
3,16:35:00,16:36:00,8100306,9,,0,0,
3,16:51:00,16:54:00,8100150,10,,0,0,
3,17:00:00,17:02:00,8100131,11,,0,0,
3,17:11:00,17:13:00,8100132,12,,0,0,
3,17:22:00,17:24:00,8100133,13,,0,0,
3,17:36:00,17:38:00,8100136,14,,0,0,
3,17:46:00,17:52:00,8100137,15,,0,0,
3,18:07:00,18:10:00,8100138,16,,0,0,
3,18:14:00,18:15:00,8100139,17,,0,0,
3,18:35:00,18:35:00,8100042,18,,1,0,
4,16:25:00,16:25:00,8100042,1,,0,1,
4,16:48:00,16:50:00,8100139,2,,0,0,
4,16:53:00,16:55:00,8100138,3,,0,0,
4,17:09:00,17:11:00,8100137,4,,0,0,
4,17:19:00,17:21:00,8100136,5,,0,0,
4,17:33:00,17:35:00,8100133,6,,0,0,
4,17:52:00,17:55:00,8100132,7,,0,0,
4,18:04:00,18:06:00,8100131,8,,0,0,
4,18:12:00,18:15:00,8100150,9,,0,0,
4,18:34:00,18:35:00,8100306,10,,0,0,
4,18:40:00,18:42:00,8100517,11,,0,0,
4,18:53:00,18:55:00,8100172,12,,0,0,
4,19:11:00,19:13:00,8100170,13,,0,0,
4,19:35:00,19:36:00,8100167,14,,0,0,
4,19:57:00,19:59:00,8100013,15,,0,0,
4,20:44:00,20:46:00,8100008,16,,0,0,
4,21:11:00,21:13:00,8100514,17,,0,0,
4,21:18:00,21:18:00,8103000,18,,1,0,
5,09:10:00,09:10:00,8103000,1,,0,1,
5,09:15:00,09:17:00,8100514,2,,0,0,
5,09:31:00,09:36:00,8102059,3,,0,0,
5,09:49:00,09:51:00,8100008,4,,0,0,
5,10:38:00,10:40:00,8100013,5,,0,0,
5,11:02:00,11:04:00,8100017,6,,0,0,
5,11:16:00,11:18:00,8100151,7,,0,0,
5,11:23:00,11:25:00,8100152,8,,0,0,
5,11:35:00,11:36:00,8100766,9,,0,0,
5,11:53:00,11:55:00,8100157,10,,0,0,
5,12:05:00,12:06:00,8100160,11,,0,0,
5,12:09:00,12:10:00,8100162,12,,0,0,
5,12:18:00,12:22:00,8100926,13,,0,0,
5,12:26:00,12:29:00,8100163,14,,0,0,
5,12:41:00,12:42:00,8100164,15,,0,0,
5,12:49:00,12:50:00,8101025,16,,0,0,
