route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,1,Bischofshofen Bahnhof,IC 1010,,1,,1
1,000001,2,Wien Hbf,IC 1011,,2,,1
2,000002,3,Bischofshofen Bahnhof,D 1012,,3,,1
2,000003,4,Wien Hbf,D 1013,,4,,1
1,000004,5,Stainach-Irdning Bahnhof,IC 1018,,5,,1
1,000004,6,Wien Hbf,IC 1019,,6,,1
3,000000,7,Wien Hbf,RJ 1020,,7,,1
3,000000,8,Flughafen Wien Bahnhof,RJ 1021,,8,,1
3,000000,9,Flughafen Wien Bahnhof,RJ 1023,,9,,1
3,000000,10,Wien Hbf,RJ 1024,,10,,1
3,000000,11,Wien Hbf,RJ 1026,,11,,1
3,000005,12,Graz Hbf,RJ 1057,,12,,1
4,000000,13,Wien Hbf,RJX 1060,,13,,1
5,000006,14,Livorno Centrale,NJ 1237,,14,,1
6,000007,15,Bratislava hl.st.,EN 1252,,15,,1
6,000008,16,Zagreb Glavni kolodvor,EN 1253,,16,,1
3,000004,17,Graz Hbf,RJ 1255,,17,,1
4,000009,18,Wörgl Hbf,RJX 1260,,18,,1
4,000002,19,Wörgl Hbf,RJX 1260,,19,,1
4,000010,20,Wörgl Hbf,RJX 1260,,19,,1
4,000012,21,Wien Hbf,RJX 1261,,20,,1
4,000013,22,Wörgl Hbf,RJX 1262,,21,,1
4,000014,23,Wörgl Hbf,RJX 1262,,21,,1
4,000016,24,Wien Hbf,RJX 1263,,22,,1
4,000017,25,Wörgl Hbf,RJX 1264,,23,,1
4,000018,26,Flughafen Wien Bahnhof,RJX 1265,,24,,1
4,000019,27,Flughafen Wien Bahnhof,RJX 1265,,25,,1
4,000020,28,Flughafen Wien Bahnhof,RJX 1265,,26,,1
4,000021,29,Wien Hbf,RJX 1267,,27,,1
4,000023,30,Wien Hbf,RJX 1267,,28,,1
4,000025,31,Flughafen Wien Bahnhof,RJX 1269,,29,,1
4,000016,32,Flughafen Wien Bahnhof,RJX 1269,,30,,1
3,000026,33,Wien Hbf,RJ 130,,31,,1
3,000027,34,Wien Hbf,RJ 130,,32,,1
3,000000,35,Venezia Santa Lucia,RJ 131,,33,,1
3,000026,36,Venezia Santa Lucia,RJ 131,,33,,1
3,000028,37,Wien Hbf,RJ 132,,34,,1
3,000029,38,Wien Hbf,RJ 132,,35,,1
3,000000,39,Venezia Santa Lucia,RJ 133,,36,,1
3,000030,40,Venezia Santa Lucia,RJ 133,,36,,1
2,000031,41,Klagenfurt Hbf,D 14017,,37,,1
2,000032,42,Wien Hbf,D 14022,,38,,1
7,000033,43,Innsbruck Hbf,REX 1500,,39,,1
8,000033,44,Innsbruck Hbf,,,39,,1
9,000033,45,Innsbruck Hbf,,,39,,1
7,000000,46,Salzburg Hbf,REX 1501,,40,,1
7,000000,47,Wörgl Hbf,REX 1502,,41,,1
8,000000,48,Wörgl Hbf,,,41,,1
7,000034,49,Salzburg Hbf,REX 1503,,42,,1
8,000035,50,Salzburg Hbf,,,43,,1
7,000000,51,Wörgl Hbf,REX 1504,,44,,1
8,000000,52,Wörgl Hbf,,,44,,1
8,000000,53,Schwarzach-St.Veit Bahnhof,,,45,,1
7,000000,54,Wörgl Hbf,REX 1506,,46,,1
8,000000,55,Wörgl Hbf,,,46,,1
8,000000,56,Salzburg Hbf,,,47,,1
2,000002,57,Wr.Neustadt Hbf,D 15075,,48,,1
2,000002,58,Wien Meidling Bahnhof,D 15078,,49,,1
7,000000,59,Wörgl Hbf,REX 1508,,50,,1
8,000000,60,Wörgl Hbf,,,50,,1
7,000000,61,Wörgl Hbf,REX 1510,,51,,1
8,000000,62,Wörgl Hbf,,,51,,1
8,000000,63,Salzburg Hbf,,,52,,1
7,000000,64,Wörgl Hbf,REX 1512,,53,,1
8,000000,65,Wörgl Hbf,,,53,,1
8,000000,66,Schwarzach-St.Veit Bahnhof,,,54,,1
8,000000,67,Salzburg Hbf,,,55,,1
7,000000,68,Wörgl Hbf,REX 1516,,56,,1
8,000000,69,Wörgl Hbf,,,56,,1
2,000002,70,Wörgl Hbf,D 15167,,57,,1
7,000000,71,Wörgl Hbf,REX 1518,,58,,1
8,000000,72,Wörgl Hbf,,,58,,1
8,000000,73,Straßwalchen Bahnhof,,,59,,1
10,000038,74,Straßwalchen Bahnhof,,,59,,1
2,000039,75,Graz Hbf,D 152,,60,,1
7,000000,76,Wörgl Hbf,REX 1520,,61,,1
8,000000,77,Wörgl Hbf,,,61,,1
8,000000,78,Schwarzach-St.Veit Bahnhof,,,62,,1
8,000000,79,Straßwalchen Bahnhof,,,63,,1
10,000038,80,Straßwalchen Bahnhof,,,63,,1
7,000000,81,Wörgl Hbf,REX 1524,,64,,1
8,000000,82,Wörgl Hbf,,,64,,1
8,000004,83,Schwarzach-St.Veit Bahnhof,,,65,,1
9,000033,84,Schwarzach-St.Veit Bahnhof,,,66,,1
8,000033,85,Schwarzach-St.Veit Bahnhof,,,66,,1
7,000000,86,Wörgl Hbf,REX 1526,,67,,1
8,000000,87,Wörgl Hbf,,,67,,1
8,000000,88,Salzburg Hbf,,,68,,1
7,000000,89,Wörgl Hbf,REX 1528,,69,,1
8,000000,90,Wörgl Hbf,,,69,,1
8,000000,91,Schwarzach-St.Veit Bahnhof,,,70,,1
2,000039,92,Spielfeld-Straß Bahnhof,D 153,,71,,1
7,000000,93,Saalfelden Bahnhof,REX 1530,,72,,1
8,000033,94,Hochfilzen Bahnhof,,,73,,1
8,000034,95,Wörgl Hbf,,,74,,1
8,000037,96,Wörgl Hbf,,,75,,1
8,000033,97,Schwarzach-St.Veit Bahnhof,,,76,,1
11,000004,98,Saalfelden Bahnhof,,,77,,1
2,000039,99,Graz Hbf,D 154,,78,,1
2,000039,100,Spielfeld-Straß Bahnhof,D 155,,79,,1
7,000033,101,Schwarzach-St.Veit Bahnhof,REX 1550,,80,,1
7,000035,102,Salzburg Hbf,REX 1551,,81,,1
7,000033,103,Saalfelden Bahnhof,REX 1552,,82,,1
7,000035,104,Salzburg Hbf,REX 1553,,83,,1
2,000043,105,Graz Hbf,D 156,,84,,1
12,000033,106,Götzendorf/Leitha Bahnhof,,,85,,1
12,000033,107,Wien Hbf,,,86,,1
2,000039,108,Spielfeld-Straß Bahnhof,D 157,,87,,1
3,000002,109,Linz/Donau Hbf,RJ 15724,,88,,1
13,000033,110,Wien Hbf,,,89,,1
13,000033,111,Wien Hbf,,,90,,1
13,000033,112,Wien Hbf,,,91,,1
13,000033,113,Wien Hbf,,,92,,1
14,000033,114,Graz Hbf,,,93,,1
15,000033,115,Graz Hbf,,,93,,1
16,000004,116,Graz Hbf,,,94,,1
16,000033,117,Mürzzuschlag Bahnhof,,,95,,1
17,000033,118,Mürzzuschlag Bahnhof,,,95,,1
14,000033,119,Mürzzuschlag Bahnhof,,,95,,1
14,000033,120,Spielfeld-Straß Bahnhof,,,96,,1
15,000033,121,Spielfeld-Straß Bahnhof,,,96,,1
16,000033,122,Spielfeld-Straß Bahnhof,,,96,,1
7,000033,123,Mürzzuschlag Bahnhof,REX 1598,,97,,1
4,000044,124,Zürich HB,RJX 160,,98,,1
4,000045,125,Zürich HB,RJX 160,,99,,1
18,000037,126,Kleinreifling Bahnhof,,,100,,1
19,000033,127,Kleinreifling Bahnhof,,,101,,1
18,000033,128,Kleinreifling Bahnhof,,,101,,1
19,000033,129,Wien Westbahnhof,,,102,,1
19,000000,130,St.Pölten Hbf,,,103,,1
19,000000,131,Wien Westbahnhof,,,104,,1
19,000035,132,St.Pölten Hbf,,,105,,1
19,000035,133,Wien Westbahnhof,,,106,,1
19,000000,134,St.Pölten Hbf,,,107,,1
19,000000,135,Wien Westbahnhof,,,108,,1
19,000035,136,St.Pölten Hbf,,,109,,1
19,000035,137,Wien Westbahnhof,,,110,,1
19,000000,138,St.Pölten Hbf,,,111,,1
19,000000,139,Wien Westbahnhof,,,112,,1
19,000035,140,St.Pölten Hbf,,,113,,1
19,000035,141,Wien Westbahnhof,,,114,,1
19,000000,142,St.Pölten Hbf,,,115,,1
19,000000,143,Wien Westbahnhof,,,116,,1
19,000035,144,Wien Westbahnhof,,,117,,1
19,000000,145,St.Pölten Hbf,,,118,,1
19,000000,146,Wien Westbahnhof,,,119,,1
4,000045,147,Zürich HB,RJX 162,,120,,1
4,000044,148,Zürich HB,RJX 162,,121,,1
19,000000,149,St.Pölten Hbf,,,122,,1
19,000000,150,Wien Westbahnhof,,,123,,1
19,000000,151,St.Pölten Hbf,,,124,,1
19,000000,152,Wien Westbahnhof,,,125,,1
19,000033,153,St.Pölten Hbf,,,126,,1
20,000046,154,Graz Hbf,EC 163,,127,,1
20,000047,155,Graz Hbf,EC 163,,128,,1
19,000000,156,St.Pölten Hbf,,,129,,1
19,000000,157,Wien Westbahnhof,,,130,,1
19,000033,158,St.Pölten Hbf,,,131,,1
19,000033,159,Wien Westbahnhof,,,132,,1
19,000000,160,St.Pölten Hbf,,,133,,1
19,000000,161,Wien Westbahnhof,,,134,,1
19,000033,162,St.Pölten Hbf,,,135,,1
19,000033,163,Wien Westbahnhof,,,136,,1
19,000000,164,St.Pölten Hbf,,,137,,1
19,000000,165,Wien Westbahnhof,,,138,,1
19,000033,166,St.Pölten Hbf,,,139,,1
19,000033,167,Wien Westbahnhof,,,140,,1
19,000000,168,St.Pölten Hbf,,,141,,1
19,000000,169,Wien Westbahnhof,,,142,,1
19,000033,170,St.Pölten Hbf,,,143,,1
19,000033,171,Wien Westbahnhof,,,144,,1
19,000000,172,St.Pölten Hbf,,,145,,1
19,000000,173,Wien Westbahnhof,,,146,,1
19,000033,174,St.Pölten Hbf,,,147,,1
19,000033,175,Wien Westbahnhof,,,148,,1
19,000000,176,St.Pölten Hbf,,,149,,1
19,000000,177,Wien Westbahnhof,,,150,,1
19,000033,178,St.Pölten Hbf,,,151,,1
19,000033,179,Wien Westbahnhof,,,152,,1
19,000000,180,St.Pölten Hbf,,,153,,1
19,000000,181,Wien Westbahnhof,,,154,,1
19,000033,182,St.Pölten Hbf,,,155,,1
19,000033,183,Wien Westbahnhof,,,156,,1
19,000000,184,St.Pölten Hbf,,,157,,1
19,000000,185,Wien Westbahnhof,,,158,,1
19,000033,186,St.Pölten Hbf,,,159,,1
19,000033,187,Wien Westbahnhof,,,160,,1
19,000000,188,St.Pölten Hbf,,,161,,1
19,000000,189,Wien Westbahnhof,,,162,,1
19,000033,190,Wien Westbahnhof,,,163,,1
19,000000,191,St.Pölten Hbf,,,164,,1
19,000000,192,Wien Westbahnhof,,,165,,1
19,000000,193,St.Pölten Hbf,,,166,,1
19,000000,194,St.Pölten Hbf,,,167,,1
19,000000,195,Wien Westbahnhof,,,168,,1
19,000000,196,St.Pölten Hbf,,,169,,1
19,000004,197,Amstetten NÖ Bahnhof,,,170,,1
21,000004,198,Amstetten NÖ Bahnhof,,,170,,1
19,000000,199,Wien Westbahnhof,,,171,,1
7,000035,200,Linz/Donau Hbf,REX 1683,,172,,1
7,000035,201,Linz/Donau Hbf,REX 1685,,173,,1
7,000035,202,Salzburg Hbf,REX 1686,,174,,1
22,000035,203,Linz/Donau Hbf,,,175,,1
9,000035,204,Linz/Donau Hbf,,,175,,1
23,000033,205,Unzmarkt Bahnhof,,,176,,1
23,000033,206,St.Marein im Mürztal-St.Lorenzen Bahnhof,,,177,,1
14,000033,207,St.Marein im Mürztal-St.Lorenzen Bahnhof,,,177,,1
7,000035,208,Unzmarkt Bahnhof,REX 1703,,178,,1
23,000004,209,Bruck/Mur Bahnhof,,,179,,1
